"movieId","title","genres","year","title_clean"
32,"Twelve Monkeys (a.k.a. 12 Monkeys) (1995)","Mystery|Sci-Fi|Thriller",NA,"Twelve Monkeys (a.k.a. 12 Monkeys)"
34,"Babe (1995)","Children|Drama",NA,"Babe"
36,"Dead Man Walking (1995)","Crime|Drama",NA,"Dead Man Walking"
39,"Clueless (1995)","Comedy|Romance",NA,"Clueless"
41,"Richard III (1995)","Drama|War",NA,"Richard III"
44,"Mortal Kombat (1995)","Action|Adventure|Fantasy",NA,"Mortal Kombat"
45,"To Die For (1995)","Comedy|Drama|Thriller",NA,"To Die For"
46,"How to Make an American Quilt (1995)","Drama|Romance",NA,"How to Make an American Quilt"
47,"Seven (a.k.a. Se7en) (1995)","Mystery|Thriller",NA,"Seven (a.k.a. Se7en)"
48,"Pocahontas (1995)","Animation|Children|Drama|Musical|Romance",NA,"Pocahontas"
50,"Usual Suspects, The (1995)","Crime|Mystery|Thriller",NA,"Usual Suspects, The"
52,"Mighty Aphrodite (1995)","Comedy|Drama|Romance",NA,"Mighty Aphrodite"
58,"Postman, The (Postino, Il) (1994)","Comedy|Drama|Romance",NA,"Postman, The (Postino, Il)"
60,"Indian in the Cupboard, The (1995)","Adventure|Children|Fantasy",NA,"Indian in the Cupboard, The"
62,"Mr. Holland's Opus (1995)","Drama",NA,"Mr. Holland's Opus"
65,"Bio-Dome (1996)","Comedy",NA,"Bio-Dome"
69,"Friday (1995)","Comedy",NA,"Friday"
70,"From Dusk Till Dawn (1996)","Action|Comedy|Horror|Thriller",NA,"From Dusk Till Dawn"
73,"Misérables, Les (1995)","Drama|War",NA,"Misérables, Les"
76,"Screamers (1995)","Action|Sci-Fi|Thriller",NA,"Screamers"
79,"Juror, The (1996)","Drama|Thriller",NA,"Juror, The"
81,"Things to Do in Denver When You're Dead (1995)","Crime|Drama|Romance",NA,"Things to Do in Denver When You're Dead"
86,"White Squall (1996)","Action|Adventure|Drama",NA,"White Squall"
88,"Black Sheep (1996)","Comedy",NA,"Black Sheep"
89,"Nick of Time (1995)","Action|Thriller",NA,"Nick of Time"
94,"Beautiful Girls (1996)","Comedy|Drama|Romance",NA,"Beautiful Girls"
95,"Broken Arrow (1996)","Action|Adventure|Thriller",NA,"Broken Arrow"
97,"Hate (Haine, La) (1995)","Crime|Drama",NA,"Hate (Haine, La)"
100,"City Hall (1996)","Drama|Thriller",NA,"City Hall"
101,"Bottle Rocket (1996)","Adventure|Comedy|Crime|Romance",NA,"Bottle Rocket"
104,"Happy Gilmore (1996)","Comedy",NA,"Happy Gilmore"
105,"Bridges of Madison County, The (1995)","Drama|Romance",NA,"Bridges of Madison County, The"
107,"Muppet Treasure Island (1996)","Adventure|Children|Comedy|Musical",NA,"Muppet Treasure Island"
110,"Braveheart (1995)","Action|Drama|War",NA,"Braveheart"
111,"Taxi Driver (1976)","Crime|Drama|Thriller",NA,"Taxi Driver"
112,"Rumble in the Bronx (Hont faan kui) (1995)","Action|Adventure|Comedy|Crime",NA,"Rumble in the Bronx (Hont faan kui)"
122,"Boomerang (1992)","Comedy|Romance",NA,"Boomerang"
125,"Flirting With Disaster (1996)","Comedy",NA,"Flirting With Disaster"
135,"Down Periscope (1996)","Comedy",NA,"Down Periscope"
140,"Up Close and Personal (1996)","Drama|Romance",NA,"Up Close and Personal"
141,"Birdcage, The (1996)","Comedy",NA,"Birdcage, The"
144,"Brothers McMullen, The (1995)","Comedy",NA,"Brothers McMullen, The"
145,"Bad Boys (1995)","Action|Comedy|Crime|Drama|Thriller",NA,"Bad Boys"
147,"Basketball Diaries, The (1995)","Drama",NA,"Basketball Diaries, The"
150,"Apollo 13 (1995)","Adventure|Drama|IMAX",NA,"Apollo 13"
151,"Rob Roy (1995)","Action|Drama|Romance|War",NA,"Rob Roy"
153,"Batman Forever (1995)","Action|Adventure|Comedy|Crime",NA,"Batman Forever"
154,"Beauty of the Day (Belle de jour) (1967)","Drama",NA,"Beauty of the Day (Belle de jour)"
157,"Canadian Bacon (1995)","Comedy|War",NA,"Canadian Bacon"
158,"Casper (1995)","Adventure|Children",NA,"Casper"
159,"Clockers (1995)","Crime|Drama|Mystery",NA,"Clockers"
160,"Congo (1995)","Action|Adventure|Mystery|Sci-Fi",NA,"Congo"
161,"Crimson Tide (1995)","Drama|Thriller|War",NA,"Crimson Tide"
162,"Crumb (1994)","Documentary",NA,"Crumb"
163,"Desperado (1995)","Action|Romance|Western",NA,"Desperado"
164,"Devil in a Blue Dress (1995)","Crime|Film-Noir|Mystery|Thriller",NA,"Devil in a Blue Dress"
165,"Die Hard: With a Vengeance (1995)","Action|Crime|Thriller",NA,"Die Hard: With a Vengeance"
168,"First Knight (1995)","Action|Drama|Romance",NA,"First Knight"
169,"Free Willy 2: The Adventure Home (1995)","Adventure|Children|Drama",NA,"Free Willy 2: The Adventure Home"
170,"Hackers (1995)","Action|Adventure|Crime|Thriller",NA,"Hackers"
172,"Johnny Mnemonic (1995)","Action|Sci-Fi|Thriller",NA,"Johnny Mnemonic"
173,"Judge Dredd (1995)","Action|Crime|Sci-Fi",NA,"Judge Dredd"
174,"Jury Duty (1995)","Comedy",NA,"Jury Duty"
175,"Kids (1995)","Drama",NA,"Kids"
176,"Living in Oblivion (1995)","Comedy",NA,"Living in Oblivion"
180,"Mallrats (1995)","Comedy|Romance",NA,"Mallrats"
181,"Mighty Morphin Power Rangers: The Movie (1995)","Action|Children",NA,"Mighty Morphin Power Rangers: The Movie"
185,"Net, The (1995)","Action|Crime|Thriller",NA,"Net, The"
186,"Nine Months (1995)","Comedy|Romance",NA,"Nine Months"
188,"Prophecy, The (1995)","Fantasy|Horror|Mystery",NA,"Prophecy, The"
193,"Showgirls (1995)","Drama",NA,"Showgirls"
194,"Smoke (1995)","Comedy|Drama",NA,"Smoke"
195,"Something to Talk About (1995)","Comedy|Drama|Romance",NA,"Something to Talk About"
196,"Species (1995)","Horror|Sci-Fi",NA,"Species"
198,"Strange Days (1995)","Action|Crime|Drama|Mystery|Sci-Fi|Thriller",NA,"Strange Days"
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)","Comedy",NA,"To Wong Foo, Thanks for Everything! Julie Newmar"
204,"Under Siege 2: Dark Territory (1995)","Action",NA,"Under Siege 2: Dark Territory"
207,"Walk in the Clouds, A (1995)","Drama|Romance",NA,"Walk in the Clouds, A"
208,"Waterworld (1995)","Action|Adventure|Sci-Fi",NA,"Waterworld"
215,"Before Sunrise (1995)","Drama|Romance",NA,"Before Sunrise"
216,"Billy Madison (1995)","Comedy",NA,"Billy Madison"
218,"Boys on the Side (1995)","Comedy|Drama",NA,"Boys on the Side"
222,"Circle of Friends (1995)","Drama|Romance",NA,"Circle of Friends"
223,"Clerks (1994)","Comedy",NA,"Clerks"
224,"Don Juan DeMarco (1995)","Comedy|Drama|Romance",NA,"Don Juan DeMarco"
225,"Disclosure (1994)","Drama|Thriller",NA,"Disclosure"
227,"Drop Zone (1994)","Action|Thriller",NA,"Drop Zone"
230,"Dolores Claiborne (1995)","Drama|Thriller",NA,"Dolores Claiborne"
231,"Dumb & Dumber (Dumb and Dumber) (1994)","Adventure|Comedy",NA,"Dumb & Dumber (Dumb and Dumber)"
232,"Eat Drink Man Woman (Yin shi nan nu) (1994)","Comedy|Drama|Romance",NA,"Eat Drink Man Woman (Yin shi nan nu)"
233,"Exotica (1994)","Drama",NA,"Exotica"
234,"Exit to Eden (1994)","Comedy",NA,"Exit to Eden"
235,"Ed Wood (1994)","Comedy|Drama",NA,"Ed Wood"
236,"French Kiss (1995)","Action|Comedy|Romance",NA,"French Kiss"
237,"Forget Paris (1995)","Comedy|Romance",NA,"Forget Paris"
239,"Goofy Movie, A (1995)","Animation|Children|Comedy|Romance",NA,"Goofy Movie, A"
246,"Hoop Dreams (1994)","Documentary",NA,"Hoop Dreams"
247,"Heavenly Creatures (1994)","Crime|Drama",NA,"Heavenly Creatures"
248,"Houseguest (1994)","Comedy",NA,"Houseguest"
249,"Immortal Beloved (1994)","Drama|Romance",NA,"Immortal Beloved"
252,"I.Q. (1994)","Comedy|Romance",NA,"I.Q."
253,"Interview with the Vampire: The Vampire Chronicles (1994)","Drama|Horror",NA,"Interview with the Vampire: The Vampire Chronicles"
256,"Junior (1994)","Comedy|Sci-Fi",NA,"Junior"
257,"Just Cause (1995)","Mystery|Thriller",NA,"Just Cause"
258,"Kid in King Arthur's Court, A (1995)","Adventure|Children|Comedy|Fantasy|Romance",NA,"Kid in King Arthur's Court, A"
260,"Star Wars: Episode IV - A New Hope (1977)","Action|Adventure|Sci-Fi",NA,"Star Wars: Episode IV - A New Hope"
261,"Little Women (1994)","Drama",NA,"Little Women"
262,"Little Princess, A (1995)","Children|Drama",NA,"Little Princess, A"
265,"Like Water for Chocolate (Como agua para chocolate) (1992)","Drama|Fantasy|Romance",NA,"Like Water for Chocolate (Como agua para chocolate)"
266,"Legends of the Fall (1994)","Drama|Romance|War|Western",NA,"Legends of the Fall"
267,"Major Payne (1995)","Comedy",NA,"Major Payne"
272,"Madness of King George, The (1994)","Comedy|Drama",NA,"Madness of King George, The"
273,"Mary Shelley's Frankenstein (Frankenstein) (1994)","Drama|Horror|Sci-Fi",NA,"Mary Shelley's Frankenstein (Frankenstein)"
276,"Milk Money (1994)","Comedy|Romance",NA,"Milk Money"
277,"Miracle on 34th Street (1994)","Drama",NA,"Miracle on 34th Street"
280,"Murder in the First (1995)","Drama|Thriller",NA,"Murder in the First"
281,"Nobody's Fool (1994)","Comedy|Drama|Romance",NA,"Nobody's Fool"
282,"Nell (1994)","Drama",NA,"Nell"
288,"Natural Born Killers (1994)","Action|Crime|Thriller",NA,"Natural Born Killers"
290,"Once Were Warriors (1994)","Crime|Drama",NA,"Once Were Warriors"
292,"Outbreak (1995)","Action|Drama|Sci-Fi|Thriller",NA,"Outbreak"
293,"Léon: The Professional (a.k.a. The Professional) (Léon) (1994)","Action|Crime|Drama|Thriller",NA,"Léon: The Professional (a.k.a. The Professional) (Léon)"
296,"Pulp Fiction (1994)","Comedy|Crime|Drama|Thriller",NA,"Pulp Fiction"
300,"Quiz Show (1994)","Drama",NA,"Quiz Show"
303,"Quick and the Dead, The (1995)","Action|Thriller|Western",NA,"Quick and the Dead, The"
306,"Three Colors: Red (Trois couleurs: Rouge) (1994)","Drama",NA,"Three Colors: Red (Trois couleurs: Rouge)"
307,"Three Colors: Blue (Trois couleurs: Bleu) (1993)","Drama",NA,"Three Colors: Blue (Trois couleurs: Bleu)"
308,"Three Colors: White (Trzy kolory: Bialy) (1994)","Comedy|Drama",NA,"Three Colors: White (Trzy kolory: Bialy)"
314,"Secret of Roan Inish, The (1994)","Children|Drama|Fantasy|Mystery",NA,"Secret of Roan Inish, The"
315,"Specialist, The (1994)","Action|Drama|Thriller",NA,"Specialist, The"
316,"Stargate (1994)","Action|Adventure|Sci-Fi",NA,"Stargate"
317,"Santa Clause, The (1994)","Comedy|Drama|Fantasy",NA,"Santa Clause, The"
318,"Shawshank Redemption, The (1994)","Crime|Drama",NA,"Shawshank Redemption, The"
319,"Shallow Grave (1994)","Comedy|Drama|Thriller",NA,"Shallow Grave"
322,"Swimming with Sharks (1995)","Comedy|Drama",NA,"Swimming with Sharks"
327,"Tank Girl (1995)","Action|Comedy|Sci-Fi",NA,"Tank Girl"
328,"Tales from the Crypt Presents: Demon Knight (1995)","Horror|Thriller",NA,"Tales from the Crypt Presents: Demon Knight"
329,"Star Trek: Generations (1994)","Adventure|Drama|Sci-Fi",NA,"Star Trek: Generations"
332,"Village of the Damned (1995)","Horror|Sci-Fi",NA,"Village of the Damned"
333,"Tommy Boy (1995)","Comedy",NA,"Tommy Boy"
337,"What's Eating Gilbert Grape (1993)","Drama",NA,"What's Eating Gilbert Grape"
338,"Virtuosity (1995)","Action|Sci-Fi|Thriller",NA,"Virtuosity"
339,"While You Were Sleeping (1995)","Comedy|Romance",NA,"While You Were Sleeping"
342,"Muriel's Wedding (1994)","Comedy",NA,"Muriel's Wedding"
344,"Ace Ventura: Pet Detective (1994)","Comedy",NA,"Ace Ventura: Pet Detective"
345,"Adventures of Priscilla, Queen of the Desert, The (1994)","Comedy|Drama",NA,"Adventures of Priscilla, Queen of the Desert, The"
348,"Bullets Over Broadway (1994)","Comedy",NA,"Bullets Over Broadway"
349,"Clear and Present Danger (1994)","Action|Crime|Drama|Thriller",NA,"Clear and Present Danger"
350,"Client, The (1994)","Drama|Mystery|Thriller",NA,"Client, The"
351,"Corrina, Corrina (1994)","Comedy|Drama|Romance",NA,"Corrina, Corrina"
353,"Crow, The (1994)","Action|Crime|Fantasy|Thriller",NA,"Crow, The"
355,"Flintstones, The (1994)","Children|Comedy|Fantasy",NA,"Flintstones, The"
356,"Forrest Gump (1994)","Comedy|Drama|Romance|War",NA,"Forrest Gump"
357,"Four Weddings and a Funeral (1994)","Comedy|Romance",NA,"Four Weddings and a Funeral"
361,"It Could Happen to You (1994)","Comedy|Drama|Romance",NA,"It Could Happen to You"
362,"Jungle Book, The (1994)","Adventure|Children|Romance",NA,"Jungle Book, The"
364,"Lion King, The (1994)","Adventure|Animation|Children|Drama|Musical|IMAX",NA,"Lion King, The"
366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)","Drama|Horror|Mystery|Thriller",NA,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A)"
367,"Mask, The (1994)","Action|Comedy|Crime|Fantasy",NA,"Mask, The"
368,"Maverick (1994)","Adventure|Comedy|Western",NA,"Maverick"
370,"Naked Gun 33 1/3: The Final Insult (1994)","Action|Comedy",NA,"Naked Gun 33 1/3: The Final Insult"
371,"Paper, The (1994)","Comedy|Drama",NA,"Paper, The"
372,"Reality Bites (1994)","Comedy|Drama|Romance",NA,"Reality Bites"
373,"Red Rock West (1992)","Thriller",NA,"Red Rock West"
374,"Richie Rich (1994)","Children|Comedy",NA,"Richie Rich"
376,"River Wild, The (1994)","Action|Thriller",NA,"River Wild, The"
377,"Speed (1994)","Action|Romance|Thriller",NA,"Speed"
379,"Timecop (1994)","Action|Sci-Fi|Thriller",NA,"Timecop"
380,"True Lies (1994)","Action|Adventure|Comedy|Romance|Thriller",NA,"True Lies"
381,"When a Man Loves a Woman (1994)","Drama|Romance",NA,"When a Man Loves a Woman"
382,"Wolf (1994)","Drama|Horror|Romance|Thriller",NA,"Wolf"
383,"Wyatt Earp (1994)","Western",NA,"Wyatt Earp"
393,"Street Fighter (1994)","Action|Adventure|Fantasy",NA,"Street Fighter"
405,"Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994)","Action|Fantasy",NA,"Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension)"
410,"Addams Family Values (1993)","Children|Comedy|Fantasy",NA,"Addams Family Values"
412,"Age of Innocence, The (1993)","Drama",NA,"Age of Innocence, The"
413,"Airheads (1994)","Comedy",NA,"Airheads"
415,"Another Stakeout (1993)","Comedy|Thriller",NA,"Another Stakeout"
417,"Barcelona (1994)","Comedy|Romance",NA,"Barcelona"
419,"Beverly Hillbillies, The (1993)","Comedy",NA,"Beverly Hillbillies, The"
420,"Beverly Hills Cop III (1994)","Action|Comedy|Crime|Thriller",NA,"Beverly Hills Cop III"
421,"Black Beauty (1994)","Adventure|Children|Drama",NA,"Black Beauty"
423,"Blown Away (1994)","Action|Thriller",NA,"Blown Away"
427,"Boxing Helena (1993)","Drama|Mystery|Romance|Thriller",NA,"Boxing Helena"
428,"Bronx Tale, A (1993)","Drama",NA,"Bronx Tale, A"
431,"Carlito's Way (1993)","Crime|Drama",NA,"Carlito's Way"
432,"City Slickers II: The Legend of Curly's Gold (1994)","Adventure|Comedy|Western",NA,"City Slickers II: The Legend of Curly's Gold"
434,"Cliffhanger (1993)","Action|Adventure|Thriller",NA,"Cliffhanger"
435,"Coneheads (1993)","Comedy|Sci-Fi",NA,"Coneheads"
440,"Dave (1993)","Comedy|Romance",NA,"Dave"
441,"Dazed and Confused (1993)","Comedy",NA,"Dazed and Confused"
442,"Demolition Man (1993)","Action|Adventure|Sci-Fi",NA,"Demolition Man"
445,"Fatal Instinct (1993)","Comedy",NA,"Fatal Instinct"
454,"Firm, The (1993)","Drama|Thriller",NA,"Firm, The"
455,"Free Willy (1993)","Adventure|Children|Drama",NA,"Free Willy"
457,"Fugitive, The (1993)","Thriller",NA,"Fugitive, The"
464,"Hard Target (1993)","Action|Adventure|Crime|Thriller",NA,"Hard Target"
466,"Hot Shots! Part Deux (1993)","Action|Comedy|War",NA,"Hot Shots! Part Deux"
468,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)","Comedy|Romance",NA,"Englishman Who Went Up a Hill But Came Down a Mountain, The"
471,"Hudsucker Proxy, The (1994)","Comedy",NA,"Hudsucker Proxy, The"
474,"In the Line of Fire (1993)","Action|Thriller",NA,"In the Line of Fire"
475,"In the Name of the Father (1993)","Drama",NA,"In the Name of the Father"
477,"What's Love Got to Do with It? (1993)","Drama|Musical",NA,"What's Love Got to Do with It?"
480,"Jurassic Park (1993)","Action|Adventure|Sci-Fi|Thriller",NA,"Jurassic Park"
481,"Kalifornia (1993)","Drama|Thriller",NA,"Kalifornia"
485,"Last Action Hero (1993)","Action|Adventure|Comedy|Fantasy",NA,"Last Action Hero"
489,"Made in America (1993)","Comedy",NA,"Made in America"
490,"Malice (1993)","Thriller",NA,"Malice"
491,"Man Without a Face, The (1993)","Drama",NA,"Man Without a Face, The"
492,"Manhattan Murder Mystery (1993)","Comedy|Mystery",NA,"Manhattan Murder Mystery"
493,"Menace II Society (1993)","Action|Crime|Drama",NA,"Menace II Society"
494,"Executive Decision (1996)","Action|Adventure|Thriller",NA,"Executive Decision"
497,"Much Ado About Nothing (1993)","Comedy|Romance",NA,"Much Ado About Nothing"
500,"Mrs. Doubtfire (1993)","Comedy|Drama",NA,"Mrs. Doubtfire"
502,"Next Karate Kid, The (1994)","Action|Children|Romance",NA,"Next Karate Kid, The"
507,"Perfect World, A (1993)","Crime|Drama|Thriller",NA,"Perfect World, A"
508,"Philadelphia (1993)","Drama",NA,"Philadelphia"
509,"Piano, The (1993)","Drama|Romance",NA,"Piano, The"
514,"Ref, The (1994)","Comedy",NA,"Ref, The"
515,"Remains of the Day, The (1993)","Drama|Romance",NA,"Remains of the Day, The"
516,"Renaissance Man (1994)","Comedy|Drama",NA,"Renaissance Man"
519,"RoboCop 3 (1993)","Action|Crime|Drama|Sci-Fi|Thriller",NA,"RoboCop 3"
520,"Robin Hood: Men in Tights (1993)","Comedy",NA,"Robin Hood: Men in Tights"
524,"Rudy (1993)","Drama",NA,"Rudy"
527,"Schindler's List (1993)","Drama|War",NA,"Schindler's List"
529,"Searching for Bobby Fischer (1993)","Drama",NA,"Searching for Bobby Fischer"
531,"Secret Garden, The (1993)","Children|Drama",NA,"Secret Garden, The"
532,"Serial Mom (1994)","Comedy|Crime|Horror",NA,"Serial Mom"
533,"Shadow, The (1994)","Action|Adventure|Fantasy|Mystery",NA,"Shadow, The"
534,"Shadowlands (1993)","Drama|Romance",NA,"Shadowlands"
535,"Short Cuts (1993)","Drama",NA,"Short Cuts"
537,"Sirens (1994)","Drama",NA,"Sirens"
538,"Six Degrees of Separation (1993)","Drama",NA,"Six Degrees of Separation"
539,"Sleepless in Seattle (1993)","Comedy|Drama|Romance",NA,"Sleepless in Seattle"
540,"Sliver (1993)","Thriller",NA,"Sliver"
541,"Blade Runner (1982)","Action|Sci-Fi|Thriller",NA,"Blade Runner"
542,"Son in Law (1993)","Comedy|Drama|Romance",NA,"Son in Law"
543,"So I Married an Axe Murderer (1993)","Comedy|Romance|Thriller",NA,"So I Married an Axe Murderer"
546,"Super Mario Bros. (1993)","Action|Adventure|Children|Comedy|Fantasy|Sci-Fi",NA,"Super Mario Bros."
551,"Nightmare Before Christmas, The (1993)","Animation|Children|Fantasy|Musical",NA,"Nightmare Before Christmas, The"
552,"Three Musketeers, The (1993)","Action|Adventure|Comedy|Romance",NA,"Three Musketeers, The"
553,"Tombstone (1993)","Action|Drama|Western",NA,"Tombstone"
555,"True Romance (1993)","Crime|Thriller",NA,"True Romance"
562,"Welcome to the Dollhouse (1995)","Comedy|Drama",NA,"Welcome to the Dollhouse"
575,"Little Rascals, The (1994)","Children|Comedy",NA,"Little Rascals, The"
585,"Brady Bunch Movie, The (1995)","Comedy",NA,"Brady Bunch Movie, The"
586,"Home Alone (1990)","Children|Comedy",NA,"Home Alone"
587,"Ghost (1990)","Comedy|Drama|Fantasy|Romance|Thriller",NA,"Ghost"
588,"Aladdin (1992)","Adventure|Animation|Children|Comedy|Musical",NA,"Aladdin"
589,"Terminator 2: Judgment Day (1991)","Action|Sci-Fi",NA,"Terminator 2: Judgment Day"
590,"Dances with Wolves (1990)","Adventure|Drama|Western",NA,"Dances with Wolves"
592,"Batman (1989)","Action|Crime|Thriller",NA,"Batman"
593,"Silence of the Lambs, The (1991)","Crime|Horror|Thriller",NA,"Silence of the Lambs, The"
594,"Snow White and the Seven Dwarfs (1937)","Animation|Children|Drama|Fantasy|Musical",NA,"Snow White and the Seven Dwarfs"
595,"Beauty and the Beast (1991)","Animation|Children|Fantasy|Musical|Romance|IMAX",NA,"Beauty and the Beast"
596,"Pinocchio (1940)","Animation|Children|Fantasy|Musical",NA,"Pinocchio"
597,"Pretty Woman (1990)","Comedy|Romance",NA,"Pretty Woman"
599,"Wild Bunch, The (1969)","Adventure|Western",NA,"Wild Bunch, The"
605,"One Fine Day (1996)","Drama|Romance",NA,"One Fine Day"
608,"Fargo (1996)","Comedy|Crime|Drama|Thriller",NA,"Fargo"
609,"Homeward Bound II: Lost in San Francisco (1996)","Adventure|Children",NA,"Homeward Bound II: Lost in San Francisco"
610,"Heavy Metal (1981)","Action|Adventure|Animation|Horror|Sci-Fi",NA,"Heavy Metal"
616,"Aristocats, The (1970)","Animation|Children",NA,"Aristocats, The"
628,"Primal Fear (1996)","Crime|Drama|Mystery|Thriller",NA,"Primal Fear"
631,"All Dogs Go to Heaven 2 (1996)","Adventure|Animation|Children|Fantasy|Musical|Romance",NA,"All Dogs Go to Heaven 2"
637,"Sgt. Bilko (1996)","Comedy",NA,"Sgt. Bilko"
640,"Diabolique (1996)","Drama|Thriller",NA,"Diabolique"
647,"Courage Under Fire (1996)","Action|Crime|Drama|War",NA,"Courage Under Fire"
648,"Mission: Impossible (1996)","Action|Adventure|Mystery|Thriller",NA,"Mission: Impossible"
653,"Dragonheart (1996)","Action|Adventure|Fantasy",NA,"Dragonheart"
661,"James and the Giant Peach (1996)","Adventure|Animation|Children|Fantasy|Musical",NA,"James and the Giant Peach"
663,"Kids in the Hall: Brain Candy (1996)","Comedy",NA,"Kids in the Hall: Brain Candy"
671,"Mystery Science Theater 3000: The Movie (1996)","Comedy|Sci-Fi",NA,"Mystery Science Theater 3000: The Movie"
673,"Space Jam (1996)","Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi",NA,"Space Jam"
694,"Substitute, The (1996)","Action|Crime|Drama",NA,"Substitute, The"
707,"Mulholland Falls (1996)","Crime|Drama|Thriller",NA,"Mulholland Falls"
708,"Truth About Cats & Dogs, The (1996)","Comedy|Romance",NA,"Truth About Cats & Dogs, The"
709,"Oliver & Company (1988)","Adventure|Animation|Children|Comedy|Musical",NA,"Oliver & Company"
711,"Flipper (1996)","Adventure|Children",NA,"Flipper"
714,"Dead Man (1995)","Drama|Mystery|Western",NA,"Dead Man"
719,"Multiplicity (1996)","Comedy",NA,"Multiplicity"
720,"Wallace & Gromit: The Best of Aardman Animation (1996)","Adventure|Animation|Comedy",NA,"Wallace & Gromit: The Best of Aardman Animation"
724,"Craft, The (1996)","Drama|Fantasy|Horror|Thriller",NA,"Craft, The"
728,"Cold Comfort Farm (1995)","Comedy",NA,"Cold Comfort Farm"
733,"Rock, The (1996)","Action|Adventure|Thriller",NA,"Rock, The"
736,"Twister (1996)","Action|Adventure|Romance|Thriller",NA,"Twister"
737,"Barb Wire (1996)","Action|Sci-Fi",NA,"Barb Wire"
741,"Ghost in the Shell (Kôkaku kidôtai) (1995)","Animation|Sci-Fi",NA,"Ghost in the Shell (Kôkaku kidôtai)"
742,"Thinner (1996)","Horror|Thriller",NA,"Thinner"
743,"Spy Hard (1996)","Comedy",NA,"Spy Hard"
745,"Wallace & Gromit: A Close Shave (1995)","Animation|Children|Comedy",NA,"Wallace & Gromit: A Close Shave"
748,"Arrival, The (1996)","Action|Sci-Fi|Thriller",NA,"Arrival, The"
750,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)","Comedy|War",NA,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb"
761,"Phantom, The (1996)","Action|Adventure",NA,"Phantom, The"
762,"Striptease (1996)","Comedy|Crime",NA,"Striptease"
765,"Jack (1996)","Comedy|Drama",NA,"Jack"
778,"Trainspotting (1996)","Comedy|Crime|Drama",NA,"Trainspotting"
780,"Independence Day (a.k.a. ID4) (1996)","Action|Adventure|Sci-Fi|Thriller",NA,"Independence Day (a.k.a. ID4)"
783,"Hunchback of Notre Dame, The (1996)","Animation|Children|Drama|Musical|Romance",NA,"Hunchback of Notre Dame, The"
784,"Cable Guy, The (1996)","Comedy|Thriller",NA,"Cable Guy, The"
785,"Kingpin (1996)","Comedy",NA,"Kingpin"
786,"Eraser (1996)","Action|Drama|Thriller",NA,"Eraser"
788,"Nutty Professor, The (1996)","Comedy|Fantasy|Romance|Sci-Fi",NA,"Nutty Professor, The"
798,"Daylight (1996)","Action|Adventure|Drama|Thriller",NA,"Daylight"
799,"Frighteners, The (1996)","Comedy|Horror|Thriller",NA,"Frighteners, The"
800,"Lone Star (1996)","Drama|Mystery|Western",NA,"Lone Star"
